metric	cade	cade_ids	difference
mean_f1	0.87630417	0.89245833	+0.01615417
variance_f1	0.00228119	0.00198637	-0.00029482
min_f1	0.68090000	0.70720000	+0.02630000
max_f1	0.95580000	0.95690000	+0.00110000
final_f1	0.92040000	0.93700000	+0.01660000
aut_f1	62.15580000	63.31060000	+1.15480000
mean_fnr	0.15340833	0.13648472	-0.01692361
variance_fnr	0.00485071	0.00449531	-0.00035540
min_fnr	0.02600000	0.02600000	+0.00000000
max_fnr	0.35150000	0.30920000	-0.04230000
mean_fpr	0.00888611	0.00743750	-0.00144861
variance_fpr	0.00010442	0.00007763	-0.00002680
min_fpr	0.00240000	0.00170000	-0.00070000
max_fpr	0.08590000	0.07740000	-0.00850000
mean_accuracy	0.97737500	0.98025139	+0.00287639
mean_precision	0.91487778	0.92865694	+0.01377917
pooled_f1	0.87870033	0.89338903	+0.01468870
pooled_fnr	0.15582309	0.14050391	-0.01531918
pooled_fpr	0.00817817	0.00684249	-0.00133568
pooled_accuracy	0.97768667	0.98036110	+0.00267442
pooled_precision	0.91616790	0.93006475	+0.01389685
