date	cade_f1	cade_ids_f1	delta_f1	cade_fnr	cade_ids_fnr	delta_fnr	cade_fpr	cade_ids_fpr	delta_fpr
2013-01	0.9558	0.9558	+0.00000000	0.0260	0.0260	+0.00000000	0.0071	0.0071	+0.00000000
2013-02	0.8863	0.8863	+0.00000000	0.1719	0.1719	+0.00000000	0.0045	0.0045	+0.00000000
2013-03	0.8872	0.8847	-0.00250000	0.1484	0.1573	+0.00890000	0.0076	0.0069	-0.00070000
2013-04	0.9262	0.9141	-0.01210000	0.1131	0.1388	+0.02570000	0.0031	0.0026	-0.00050000
2013-05	0.9036	0.9049	+0.00130000	0.1349	0.1411	+0.00620000	0.0055	0.0043	-0.00120000
2013-06	0.9015	0.8977	-0.00380000	0.1331	0.1302	-0.00290000	0.0062	0.0076	+0.00140000
2013-07	0.9006	0.9076	+0.00700000	0.1225	0.1265	+0.00400000	0.0079	0.0057	-0.00220000
2013-08	0.9118	0.8951	-0.01670000	0.1033	0.1364	+0.03310000	0.0077	0.0073	-0.00040000
2013-09	0.8875	0.8869	-0.00060000	0.1240	0.1300	+0.00600000	0.0109	0.0103	-0.00060000
2013-10	0.8986	0.8964	-0.00220000	0.1383	0.1503	+0.01200000	0.0062	0.0051	-0.00110000
2013-11	0.8775	0.8803	+0.00280000	0.1535	0.1677	+0.01420000	0.0092	0.0065	-0.00270000
2013-12	0.8786	0.8804	+0.00180000	0.1804	0.1884	+0.00800000	0.0051	0.0036	-0.00150000
2014-01	0.8662	0.8640	-0.00220000	0.1927	0.2008	+0.00810000	0.0062	0.0056	-0.00060000
2014-02	0.9028	0.9167	+0.01390000	0.0990	0.0889	-0.01010000	0.0105	0.0085	-0.00200000
2014-03	0.8741	0.8741	+0.00000000	0.1356	0.1498	+0.01420000	0.0125	0.0105	-0.00200000
2014-04	0.8652	0.8598	-0.00540000	0.1614	0.1568	-0.00460000	0.0110	0.0130	+0.00200000
2014-05	0.8934	0.8903	-0.00310000	0.1227	0.1348	+0.01210000	0.0096	0.0087	-0.00090000
2014-06	0.7947	0.7836	-0.01110000	0.2811	0.3092	+0.02810000	0.0100	0.0080	-0.00200000
2014-07	0.7928	0.8116	+0.01880000	0.2946	0.2705	-0.02410000	0.0082	0.0076	-0.00060000
2014-08	0.8386	0.8229	-0.01570000	0.2298	0.2601	+0.03030000	0.0073	0.0065	-0.00080000
2014-09	0.8513	0.8468	-0.00450000	0.2133	0.2275	+0.01420000	0.0068	0.0057	-0.00110000
2014-10	0.8189	0.7977	-0.02120000	0.2556	0.2904	+0.03480000	0.0080	0.0076	-0.00040000
2014-11	0.9100	0.9006	-0.00940000	0.1176	0.1176	+0.00000000	0.0062	0.0085	+0.00230000
2014-12	0.8596	0.8625	+0.00290000	0.2049	0.2110	+0.00610000	0.0060	0.0045	-0.00150000
2015-01	0.8719	0.8756	+0.00370000	0.1883	0.1904	+0.00210000	0.0054	0.0043	-0.00110000
2015-02	0.9118	0.9198	+0.00800000	0.1100	0.1079	-0.00210000	0.0067	0.0051	-0.00160000
2015-03	0.9150	0.9079	-0.00710000	0.1316	0.1423	+0.01070000	0.0031	0.0034	+0.00030000
2015-04	0.9061	0.9161	+0.01000000	0.1113	0.1113	+0.00000000	0.0076	0.0054	-0.00220000
2015-05	0.9125	0.9129	+0.00040000	0.1306	0.1261	-0.00450000	0.0036	0.0040	+0.00040000
2015-06	0.8630	0.9300	+0.06700000	0.2144	0.0985	-0.11590000	0.0036	0.0038	+0.00020000
2015-07	0.8825	0.8953	+0.01280000	0.1656	0.1488	-0.01680000	0.0062	0.0055	-0.00070000
2015-08	0.9154	0.9376	+0.02220000	0.1340	0.0915	-0.04250000	0.0029	0.0032	+0.00030000
2015-09	0.8211	0.8476	+0.02650000	0.2718	0.2386	-0.03320000	0.0049	0.0038	-0.00110000
2015-10	0.7620	0.8167	+0.05470000	0.3495	0.2779	-0.07160000	0.0060	0.0049	-0.00110000
2015-11	0.8594	0.9569	+0.09750000	0.2049	0.0451	-0.15980000	0.0060	0.0045	-0.00150000
2015-12	0.9009	0.9433	+0.04240000	0.1310	0.0665	-0.06450000	0.0065	0.0049	-0.00160000
2016-01	0.8672	0.9023	+0.03510000	0.2064	0.1422	-0.06420000	0.0036	0.0042	+0.00060000
2016-02	0.9352	0.9419	+0.00670000	0.0853	0.0853	+0.00000000	0.0040	0.0027	-0.00130000
2016-03	0.9303	0.9537	+0.02340000	0.0861	0.0442	-0.04190000	0.0051	0.0049	-0.00020000
2016-04	0.8917	0.9218	+0.03010000	0.1134	0.0718	-0.04160000	0.0098	0.0082	-0.00160000
2016-05	0.9322	0.9366	+0.00440000	0.0922	0.0860	-0.00620000	0.0042	0.0040	-0.00020000
2016-06	0.9210	0.9318	+0.01080000	0.0874	0.0833	-0.00410000	0.0076	0.0056	-0.00200000
2016-07	0.9063	0.9263	+0.02000000	0.1351	0.0852	-0.04990000	0.0047	0.0065	+0.00180000
2016-08	0.9041	0.9240	+0.01990000	0.1087	0.0946	-0.01410000	0.0089	0.0060	-0.00290000
2016-09	0.8932	0.9158	+0.02260000	0.1602	0.1176	-0.04260000	0.0045	0.0049	+0.00040000
2016-10	0.9187	0.9504	+0.03170000	0.0813	0.0467	-0.03460000	0.0089	0.0058	-0.00310000
2016-11	0.7616	0.8098	+0.04820000	0.3515	0.2970	-0.05450000	0.0060	0.0037	-0.00230000
2016-12	0.8333	0.8566	+0.02330000	0.2508	0.2020	-0.04880000	0.0053	0.0070	+0.00170000
2017-01	0.8907	0.8986	+0.00790000	0.1469	0.1281	-0.01880000	0.0065	0.0071	+0.00060000
2017-02	0.9119	0.9379	+0.02600000	0.1277	0.0761	-0.05160000	0.0044	0.0050	+0.00060000
2017-03	0.8362	0.8741	+0.03790000	0.1928	0.1325	-0.06030000	0.0126	0.0119	-0.00070000
2017-04	0.8014	0.8720	+0.07060000	0.2710	0.1871	-0.08390000	0.0080	0.0046	-0.00340000
2017-05	0.8696	0.8840	+0.01440000	0.1919	0.1919	+0.00000000	0.0043	0.0017	-0.00260000
2017-06	0.7668	0.8293	+0.06250000	0.3451	0.2478	-0.09730000	0.0047	0.0054	+0.00070000
2017-07	0.9066	0.9227	+0.01610000	0.1176	0.0749	-0.04270000	0.0071	0.0089	+0.00180000
2017-08	0.9311	0.9548	+0.02370000	0.0642	0.0372	-0.02700000	0.0082	0.0059	-0.00230000
2017-09	0.8650	0.8966	+0.03160000	0.1019	0.0892	-0.01270000	0.0174	0.0118	-0.00560000
2017-10	0.8951	0.9078	+0.01270000	0.1312	0.1312	+0.00000000	0.0059	0.0037	-0.00220000
2017-11	0.8962	0.9231	+0.02690000	0.1087	0.0870	-0.02170000	0.0101	0.0067	-0.00340000
2017-12	0.8872	0.8832	-0.00400000	0.0560	0.0320	-0.02400000	0.0175	0.0213	+0.00380000
2018-01	0.8779	0.8867	+0.00880000	0.1307	0.1046	-0.02610000	0.0101	0.0113	+0.00120000
2018-02	0.9084	0.9071	-0.00130000	0.1448	0.1241	-0.02070000	0.0024	0.0049	+0.00250000
2018-03	0.8469	0.8993	+0.05240000	0.0912	0.0876	-0.00360000	0.0145	0.0071	-0.00740000
2018-04	0.8094	0.9198	+0.11040000	0.0854	0.0819	-0.00350000	0.0361	0.0082	-0.02790000
2018-05	0.6809	0.7072	+0.02630000	0.0744	0.0620	-0.01240000	0.0859	0.0774	-0.00850000
2018-06	0.8930	0.8974	+0.00440000	0.1444	0.1213	-0.02310000	0.0065	0.0085	+0.00200000
2018-07	0.8870	0.9022	+0.01520000	0.1557	0.1496	-0.00610000	0.0065	0.0038	-0.00270000
2018-08	0.8832	0.8935	+0.01030000	0.1168	0.1203	+0.00350000	0.0126	0.0096	-0.00300000
2018-09	0.8526	0.8545	+0.00190000	0.1790	0.1856	+0.00660000	0.0107	0.0093	-0.00140000
2018-10	0.8571	0.8751	+0.01800000	0.1907	0.1826	-0.00810000	0.0087	0.0056	-0.00310000
2018-11	0.9201	0.9416	+0.02150000	0.0767	0.0732	-0.00350000	0.0089	0.0044	-0.00450000
2018-12	0.9204	0.9370	+0.01660000	0.0415	0.0363	-0.00520000	0.0118	0.0089	-0.00290000
