metric	cade	cade_ids	difference
mean_f1	0.90720000	0.90565000	-0.00155000
variance_f1	0.00037636	0.00043890	+0.00006254
min_f1	0.88780000	0.88470000	-0.00310000
max_f1	0.92660000	0.92660000	+0.00000000
final_f1	0.88780000	0.88470000	-0.00310000
aut_f1	0.90720000	0.90565000	-0.00155000
mean_fnr	0.10620000	0.10620000	+0.00000000
variance_fnr	0.00611524	0.00611524	+0.00000000
mean_fpr	0.00820000	0.00855000	+0.00035000
variance_fpr	0.00003364	0.00002970	-0.00000394
mean_accuracy	0.98195000	0.98160000	-0.00035000
mean_precision	0.92955000	0.92595000	-0.00360000
