metric	hcl	hcl_ids	difference
mean_f1	0.95274167	0.95303333	+0.00029167
std_f1	0.02837024	0.02833997	-0.00003027
min_f1	0.89650000	0.89650000	+0.00000000
final_f1	0.98450000	0.98310000	-0.00140000
aut_f1	10.49240000	10.49660000	+0.00420000
mean_fnr	0.08788333	0.08735833	-0.00052500
mean_fpr	0.03357500	0.03357500	+0.00000000
mean_accuracy	0.91525833	0.91576667	+0.00050833
mean_precision	0.99878333	0.99878333	+0.00000000
pooled_f1	0.95546056	0.95574855	+0.00028799
pooled_fnr	0.08431347	0.08378486	-0.00052861
pooled_fpr	0.02339181	0.02339181	+0.00000000
pooled_accuracy	0.91832090	0.91882665	+0.00050575
pooled_precision	0.99884676	0.99884743	+0.00000066
pooled_tp	6929.00000000	6933.00000000	+4.00000000
pooled_tn	334.00000000	334.00000000	+0.00000000
pooled_fp	8.00000000	8.00000000	+0.00000000
pooled_fn	638.00000000	634.00000000	-4.00000000
