date	hcl_f1	hcl_ids_f1	delta_f1	hcl_fnr	hcl_ids_fnr	delta_fnr	hcl_fpr	hcl_ids_fpr	delta_fpr
2012-01	0.8965	0.8965	+0.00000000	0.1864	0.1864	+0.00000000	0.0455	0.0455	+0.00000000
2012-02	0.8976	0.8976	+0.00000000	0.1858	0.1858	+0.00000000	0.0000	0.0000	+0.00000000
2012-03	0.9455	0.9465	+0.00100000	0.1033	0.1016	-0.00170000	0.0000	0.0000	+0.00000000
2012-04	0.9417	0.9430	+0.00130000	0.1101	0.1079	-0.00220000	0.0000	0.0000	+0.00000000
2012-05	0.9680	0.9680	+0.00000000	0.0606	0.0606	+0.00000000	0.2500	0.2500	+0.00000000
2012-06	0.9807	0.9817	+0.00100000	0.0379	0.0359	-0.00200000	0.0000	0.0000	+0.00000000
2012-07	0.9697	0.9706	+0.00090000	0.0587	0.0570	-0.00170000	0.0000	0.0000	+0.00000000
2012-08	0.9408	0.9408	+0.00000000	0.1071	0.1071	+0.00000000	0.0449	0.0449	+0.00000000
2012-09	0.9707	0.9702	-0.00050000	0.0570	0.0579	+0.00090000	0.0000	0.0000	+0.00000000
2012-10	0.9677	0.9689	+0.00120000	0.0625	0.0603	-0.00220000	0.0000	0.0000	+0.00000000
2012-11	0.9695	0.9695	+0.00000000	0.0546	0.0546	+0.00000000	0.0625	0.0625	+0.00000000
2012-12	0.9845	0.9831	-0.00140000	0.0306	0.0332	+0.00260000	0.0000	0.0000	+0.00000000
